n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
25,11,14,10,0,14,1,0.9090909090909091,0.0,0.45454545454545453,-0.23028309323591914,0.4,0.4166666666666667,0.0,201
29,9,20,8,2,18,1,0.8888888888888888,0.1,0.4944444444444444,-0.016878989451394443,0.3448275862068966,0.3076923076923077,0.6666666666666666,202
49,8,41,8,6,35,0,1.0,0.14634146341463414,0.573170731707317,0.16500399623892645,0.2857142857142857,0.18604651162790697,1.0,203
23,10,13,6,0,13,4,0.6,0.0,0.3,-0.5231483637805969,0.2608695652173913,0.3157894736842105,0.0,204
28,7,21,7,2,19,0,1.0,0.09523809523809523,0.5476190476190477,0.16012815380508713,0.32142857142857145,0.2692307692307692,1.0,205
40,6,34,6,4,30,0,1.0,0.11764705882352941,0.5588235294117647,0.140028008402801,0.25,0.16666666666666666,1.0,206
27,10,17,9,0,17,1,0.9,0.0,0.45,-0.2557041559783794,0.3333333333333333,0.34615384615384615,0.0,207
19,10,9,10,0,9,0,1.0,0.0,0.5,,0.5263157894736842,0.5263157894736842,,208
25,7,18,7,4,14,0,1.0,0.2222222222222222,0.6111111111111112,0.2721655269759087,0.44,0.3333333333333333,1.0,209
36,7,29,5,4,25,2,0.7142857142857143,0.13793103448275862,0.42610837438423643,-0.15694120514358612,0.25,0.16666666666666666,0.6666666666666666,210
15,9,6,8,0,6,1,0.8888888888888888,0.0,0.4444444444444444,-0.21821789023599236,0.5333333333333333,0.5714285714285714,0.0,211
20,6,14,6,0,14,0,1.0,0.0,0.5,,0.3,0.3,,212
33,8,25,8,0,25,0,1.0,0.0,0.5,,0.24242424242424243,0.24242424242424243,,213
